episode,episode_length,total_rewards,avg_q,epsilon
12,34,"tf.Tensor(
[-10.  -8. -22. -12.  -6.  -2. -12.  16.   6. -10.   0. -22. -16. -18.
 -12. -28.  18.  -6.  -6. -18.   0. -18. -12.  -6. -18.  -2.  -6.  14.
   2. -12.  -6.  -8.   0. -22.  -8.  -6.  12. -10.  -6. -18. -12.  12.
  -8.  -8.  -4.  -6.   8. -12.   4.   0. -16. -16.   0.   8.  -6.   0.
  10. -14. -18. -12.  -6. -10. -28.   0.], shape=(64,), dtype=float32)",0.047456913,0.9419053396659193
13,28,"tf.Tensor(
[  2.  -8.   8.  -4.   4. -14.  -4. -14.   2.  -4. -14.  -4.   2.  -4.
 -14.   8.  -8.  -4.  -8.  -4.   4. -10.  -2. -16.  -8.  -2.   8.   2.
 -10.  -8.  -2.  -2. -16.   8.   4. -10.  -2. -16. -14.  -8.   4.  20.
 -14.   4.  14.  -2. -10.   8.  -8.  -8. -10.   2.  -4.   2.   2.  -2.
  -2.  -8.  -4.  -4.  -4.  -4.  -4.  -4.], shape=(64,), dtype=float32)",0.049510144,0.937219243448676
14,38,"tf.Tensor(
[ -2. -10.  -2. -14. -20. -10.  -8.   2.  -8. -10.   2. -26.  14.   8.
 -26.  -2. -14. -26. -16.  -2. -20.  -2. -16. -26.  10.  -8.  14. -10.
  -8.   2.  -2. -16.  -4.   2.  10. -14. -10.  -2. -16.  -4.  -4.  -8.
   2.  -8. -20.   8.  -8. -32.  -4. -16. -20.  -8. -22. -26.  -8.  -2.
   4.  -2.  -8.  -4. -26. -16.  14.   4.], shape=(64,), dtype=float32)",0.05079507,0.9325564611429613
15,18,"tf.Tensor(
[-12.   0.   6.  -6.   6.  -4. -18.   8.  -6.   8.  12.  -6.  -4.   0.
   0. -12. -12.  -2.   0. -18.   4.   0.  -6.   6. -12.  -2.  -4.  12.
  -2. -16.  -2. -10.  -4. -16. -12.  -6.  -6. -18.  -6. -10.   2.  16.
 -16.   0.  -6.  -4. -12. -14. -12. -10.  -6. -12.   2. -12.   0. -12.
  -2.  -6.  -2. -16.  -2.   2.   6.  -2.], shape=(64,), dtype=float32)",0.026333835,0.9279168767591656
16,16,"tf.Tensor(
[ -4.  -8.  -4. -10.  -4. -16.  -4.  -4. -10. -10.   4. -10.  -4.   4.
   8.   2.  -4.  10.   4. -10.   4.  -4.   4.  -4.   2.  -2.   2.  10.
  -2. -10.   4. -16. -10.  -4.   2. -10.   4.  -4.  -8.   2.  -4.   4.
  -4. -10.  -4.   8.   8.  -2.  10.  -4.  -4.   2.   2.   2.  -4. -16.
  -2.   2.  -8. -10.  -2.  -4.  -8.  -8.], shape=(64,), dtype=float32)",0.00704515,0.9233003748847419
17,38,"tf.Tensor(
[-20. -14. -20.  14.  -2.   4. -20. -22. -20.  -8. -14.   4. -20. -10.
  10.   2.   2.  -2.  -8.  -4.  14. -14. -22. -14.   4.  -4.  -2. -14.
 -14.   2.  -8.   2.  -4.  14.  -4.  -8. -22. -20. -14.  -4.  -2.  -2.
 -10.  -2.  -2.   4.  -4.  -8. -16. -14. -28.   4.  -8. -14. -14. -10.
 -10. -16.  -2. -16. -14. -14. -16.   4.], shape=(64,), dtype=float32)",-0.006410888,0.9187068406813353
18,16,"tf.Tensor(
[-10.  -4.   2.  -8. -10.   2.  -4.  10. -10.   2.  -4.   2. -10.  -2.
 -16.   4.   4. -16.   2.   4.   4.  -4.   4. -10.  -4.   4.   8.  -4.
  14. -14. -10.  -8.   4.  -8.  -2. -10.  -8. -10.  -4.  -8.  14. -10.
  -2. -10.   2.   2.   4. -10.  -8. -10.  -8. -16. -10.   2. -10.  -2.
 -14.  -2.   2.  -8. -10.   2.  -8. -10.], shape=(64,), dtype=float32)",0.010086909,0.9141361598819259
19,23,"tf.Tensor(
[-13.   1.  11.  -5. -11.   5.  11.   1. -23.  -5. -17.  11. -11.  -5.
   1.  -1.  -5.  -5. -11.   1.  -1.   5.  -5.   5.   1. -13.  -7.  -1.
  13.  -7.  -5.   5.  -1. -11.  -7.  -1.  -7.  -1.  -5.  -7.  -5.  11.
   1.   1.   7. -13.   1.  -5.  -5.  -1.  -7. -17.   1.   7.  -1.  -5.
   1. -11. -11. -11.   1.   7. -19.  -5.], shape=(64,), dtype=float32)",0.06230221,0.909588218787986
20,28,"tf.Tensor(
[  4.  -4.   4.  -4. -16.  -8.  16.   8.   2.  -4.   2.  -8. -10. -16.
  -4.  10.  -4. -10. -10. -10.  16.  -2.   2.   4.  -4.  -2.  10.  -2.
 -10.   4.   8.  -8.   4.  -4.   4.  -2.  -8.  10. -22.  -2. -10. -20.
  -4.  -4.  -4.  -2. -16.   8. -16.  -8.  -8. -22. -10.   2.  -8. -10.
  -4.   2. -10.  -4.   2. -10.  -8.  -4.], shape=(64,), dtype=float32)",0.1035756,0.9050629042666528
21,11,"tf.Tensor(
[ -5.   1.  -1.   5.  -5. -11.  -5.  -5.  -1. -11.   7.  -1.  -1.   1.
  -5.  -5.  -5.   7.  -5. -11.  -5.   1.   1.  -5.   1.   1.   1.  -1.
   1.  -1.  11.   1.  -7.  -5.   1.   1.  -5.  -5.  -5.  -1.  -1.   5.
  -5.  -5.   5.  -5.  -1.   1.  -1.  -7.   1.   5.   1.  -5.  -1.   5.
  -7. -11.  -1.  -5.  -5.  -5.  -1.  -5.], shape=(64,), dtype=float32)",0.12123327,0.9005601037479133
